Date,Open,High,Low,Close
02/17/2020,"0.2835","0.2959","0.2692","0.2839"
02/16/2020,"0.3139","0.3191","0.2707","0.2836"
02/15/2020,"0.3358","0.3458","0.2968","0.3135"
02/14/2020,"0.3229","0.3397","0.3125","0.3358"
02/13/2020,"0.3032","0.3400","0.3012","0.3228"
02/12/2020,"0.2811","0.3062","0.2805","0.3036"
02/11/2020,"0.2735","0.2842","0.2671","0.2811"
02/10/2020,"0.2798","0.2844","0.2679","0.2735"
02/09/2020,"0.2788","0.2892","0.2771","0.2796"
02/08/2020,"0.2774","0.2820","0.2647","0.2788"
02/07/2020,"0.2821","0.2874","0.2774","0.2775"
02/06/2020,"0.2782","0.2873","0.2700","0.2821"
02/05/2020,"0.2647","0.2810","0.2634","0.2780"
02/04/2020,"0.2512","0.2697","0.2473","0.2647"
02/03/2020,"0.2567","0.2596","0.2470","0.2512"
02/02/2020,"0.2413","0.2611","0.2361","0.2565"
02/01/2020,"0.2386","0.2428","0.2366","0.2413"
01/31/2020,"0.2440","0.2465","0.2337","0.2386"
01/30/2020,"0.2368","0.2453","0.2301","0.2439"
01/29/2020,"0.2358","0.2416","0.2338","0.2368"
01/28/2020,"0.2326","0.2406","0.2297","0.2358"
01/27/2020,"0.2265","0.2333","0.2258","0.2326"
01/26/2020,"0.2203","0.2272","0.2179","0.2254"
01/25/2020,"0.2231","0.2236","0.2165","0.2203"
01/24/2020,"0.2251","0.2265","0.2138","0.2231"
01/23/2020,"0.2356","0.2367","0.2211","0.2252"
01/22/2020,"0.2377","0.2395","0.2323","0.2356"
01/21/2020,"0.2345","0.2414","0.2297","0.2382"
01/20/2020,"0.2339","0.2365","0.2242","0.2345"
01/19/2020,"0.2456","0.2511","0.2279","0.2339"
01/18/2020,"0.2398","0.2541","0.2318","0.2456"
01/17/2020,"0.2283","0.2443","0.2264","0.2398"
01/16/2020,"0.2367","0.2371","0.2226","0.2283"
01/15/2020,"0.2338","0.2432","0.2263","0.2367"
01/14/2020,"0.2119","0.2451","0.2112","0.2338"
01/13/2020,"0.2123","0.2155","0.2100","0.2119"
01/12/2020,"0.2129","0.2167","0.2096","0.2124"
01/11/2020,"0.2092","0.2198","0.2083","0.2130"
01/10/2020,"0.2019","0.2113","0.2004","0.2092"
01/09/2020,"0.2060","0.2086","0.2014","0.2020"
01/08/2020,"0.2138","0.2184","0.2031","0.2059"
01/07/2020,"0.2180","0.2254","0.2074","0.2138"
01/06/2020,"0.1952","0.2235","0.1938","0.2180"
01/05/2020,"0.1924","0.1971","0.1923","0.1952"
01/04/2020,"0.1916","0.1933","0.1911","0.1924"
01/03/2020,"0.1873","0.1940","0.1841","0.1916"
01/02/2020,"0.1935","0.1935","0.1856","0.1873"
01/01/2020,"0.1905","0.1943","0.1904","0.1935"
12/31/2019,"0.1925","0.1936","0.1890","0.1905"
12/30/2019,"0.1957","0.1975","0.1907","0.1925"
12/29/2019,"0.1936","0.1981","0.1908","0.1957"
12/28/2019,"0.1886","0.1942","0.1886","0.1936"
12/27/2019,"0.1895","0.1896","0.1849","0.1886"
12/26/2019,"0.1892","0.1938","0.1871","0.1895"
12/25/2019,"0.1908","0.1911","0.1863","0.1892"
12/24/2019,"0.1912","0.1933","0.1876","0.1908"
12/23/2019,"0.1961","0.1988","0.1908","0.1912"
12/22/2019,"0.1912","0.1970","0.1907","0.1961"
12/21/2019,"0.1943","0.1977","0.1902","0.1912"
12/20/2019,"0.1883","0.1951","0.1837","0.1943"
12/19/2019,"0.1954","0.1980","0.1848","0.1883"
12/18/2019,"0.1834","0.1996","0.1745","0.1954"
12/17/2019,"0.2050","0.2056","0.1776","0.1834"
12/16/2019,"0.2177","0.2178","0.2027","0.2050"
12/15/2019,"0.2164","0.2191","0.2144","0.2177"
12/14/2019,"0.2199","0.2208","0.2147","0.2164"
12/13/2019,"0.2185","0.2203","0.2149","0.2199"
12/12/2019,"0.2205","0.2226","0.2174","0.2185"
12/11/2019,"0.2208","0.2235","0.2198","0.2205"
12/10/2019,"0.2237","0.2253","0.2187","0.2208"
12/09/2019,"0.2310","0.2315","0.2209","0.2237"
12/08/2019,"0.2269","0.2324","0.2242","0.2310"
12/07/2019,"0.2242","0.2286","0.2235","0.2269"
12/06/2019,"0.2229","0.2265","0.2193","0.2242"
12/05/2019,"0.2152","0.2259","0.2119","0.2226"
12/04/2019,"0.2200","0.2254","0.2100","0.2152"
12/03/2019,"0.2203","0.2219","0.2180","0.2200"
12/02/2019,"0.2234","0.2266","0.2175","0.2199"
12/01/2019,"0.2250","0.2265","0.2190","0.2234"
11/30/2019,"0.2287","0.2319","0.2241","0.2250"
11/29/2019,"0.2270","0.2325","0.2227","0.2292"
11/28/2019,"0.2257","0.2297","0.2240","0.2270"
11/27/2019,"0.2196","0.2298","0.2126","0.2255"
11/26/2019,"0.2208","0.2218","0.2139","0.2194"
11/25/2019,"0.2261","0.2271","0.2003","0.2208"
11/24/2019,"0.2326","0.2350","0.2218","0.2261"
11/23/2019,"0.2318","0.2346","0.2264","0.2325"
11/22/2019,"0.2417","0.2457","0.2222","0.2318"
11/21/2019,"0.2495","0.2526","0.2365","0.2423"
11/20/2019,"0.2506","0.2583","0.2478","0.2497"
11/19/2019,"0.2541","0.2541","0.2433","0.2509"
11/18/2019,"0.2650","0.2650","0.2401","0.2541"
11/17/2019,"0.2617","0.2660","0.2591","0.2650"
11/16/2019,"0.2599","0.2640","0.2591","0.2617"
11/15/2019,"0.2672","0.2690","0.2528","0.2599"
11/14/2019,"0.2720","0.2722","0.2631","0.2672"
11/13/2019,"0.2713","0.2753","0.2703","0.2720"
11/12/2019,"0.2745","0.2760","0.2670","0.2714"
11/11/2019,"0.2820","0.2820","0.2696","0.2745"
11/10/2019,"0.2783","0.2841","0.2770","0.2820"
11/09/2019,"0.2778","0.2819","0.2746","0.2783"
11/08/2019,"0.2906","0.2913","0.2713","0.2774"
11/07/2019,"0.3085","0.3142","0.2755","0.2906"
11/06/2019,"0.3017","0.3099","0.2973","0.3082"
11/05/2019,"0.2966","0.3048","0.2957","0.3018"
11/04/2019,"0.2901","0.2974","0.2895","0.2966"
11/03/2019,"0.2957","0.2968","0.2890","0.2901"
11/02/2019,"0.2914","0.2980","0.2909","0.2957"
11/01/2019,"0.2946","0.2949","0.2854","0.2914"
10/31/2019,"0.2958","0.2988","0.2889","0.2946"
10/30/2019,"0.3017","0.3063","0.2905","0.2959"
10/29/2019,"0.2980","0.3096","0.2944","0.3017"
10/28/2019,"0.2986","0.3055","0.2943","0.2980"
10/27/2019,"0.2912","0.3028","0.2905","0.2982"
10/26/2019,"0.2965","0.3145","0.2840","0.2912"
10/25/2019,"0.2791","0.3076","0.2751","0.2971"
10/24/2019,"0.2679","0.2809","0.2664","0.2791"
10/23/2019,"0.2941","0.2955","0.2504","0.2685"
10/22/2019,"0.2924","0.3025","0.2915","0.2941"
10/21/2019,"0.2927","0.2975","0.2888","0.2924"
10/20/2019,"0.2900","0.2944","0.2818","0.2929"
10/19/2019,"0.2922","0.2992","0.2877","0.2900"
10/18/2019,"0.2984","0.3033","0.2850","0.2922"
10/17/2019,"0.2834","0.3035","0.2801","0.2984"
10/16/2019,"0.2867","0.2918","0.2790","0.2834"
10/15/2019,"0.2895","0.2992","0.2830","0.2866"
10/14/2019,"0.2774","0.2943","0.2763","0.2896"
10/13/2019,"0.2731","0.2821","0.2718","0.2774"
10/12/2019,"0.2696","0.2770","0.2664","0.2731"
10/11/2019,"0.2734","0.2762","0.2652","0.2697"
10/10/2019,"0.2829","0.2830","0.2653","0.2735"
10/09/2019,"0.2740","0.2870","0.2735","0.2825"
10/08/2019,"0.2748","0.2848","0.2712","0.2740"
10/07/2019,"0.2532","0.2814","0.2520","0.2747"
10/06/2019,"0.2511","0.2566","0.2502","0.2532"
10/05/2019,"0.2537","0.2568","0.2471","0.2511"
10/04/2019,"0.2458","0.2570","0.2451","0.2537"
10/03/2019,"0.2499","0.2545","0.2422","0.2458"
10/02/2019,"0.2499","0.2549","0.2447","0.2498"
10/01/2019,"0.2533","0.2615","0.2455","0.2499"
09/30/2019,"0.2397","0.2611","0.2353","0.2533"
09/29/2019,"0.2428","0.2442","0.2351","0.2397"
09/28/2019,"0.2421","0.2474","0.2381","0.2428"
09/27/2019,"0.2402","0.2459","0.2332","0.2421"
09/26/2019,"0.2450","0.2499","0.2270","0.2402"
09/25/2019,"0.2362","0.2493","0.2325","0.2456"
09/24/2019,"0.2782","0.2782","0.2156","0.2363"
09/23/2019,"0.2735","0.2858","0.2681","0.2782"
09/22/2019,"0.2897","0.2906","0.2683","0.2735"
09/21/2019,"0.2891","0.2973","0.2860","0.2897"
09/20/2019,"0.2987","0.3033","0.2840","0.2889"
09/19/2019,"0.3116","0.3193","0.2826","0.2987"
09/18/2019,"0.2923","0.3255","0.2842","0.3113"
09/17/2019,"0.2614","0.2976","0.2599","0.2918"
09/16/2019,"0.2594","0.2635","0.2569","0.2614"
09/15/2019,"0.2645","0.2646","0.2592","0.2594"
09/14/2019,"0.2548","0.2652","0.2539","0.2645"
09/13/2019,"0.2526","0.2560","0.2522","0.2548"
09/12/2019,"0.2526","0.2568","0.2506","0.2526"
09/11/2019,"0.2554","0.2597","0.2510","0.2526"
09/10/2019,"0.2578","0.2635","0.2543","0.2554"
09/09/2019,"0.2593","0.2645","0.2565","0.2578"
09/08/2019,"0.2611","0.2664","0.2567","0.2593"
09/07/2019,"0.2519","0.2632","0.2502","0.2611"
09/06/2019,"0.2544","0.2594","0.2487","0.2520"
09/05/2019,"0.2605","0.2615","0.2539","0.2544"
09/04/2019,"0.2633","0.2657","0.2567","0.2605"
09/03/2019,"0.2628","0.2670","0.2585","0.2633"
09/02/2019,"0.2562","0.2650","0.2538","0.2629"
09/01/2019,"0.2543","0.2605","0.2510","0.2554"
08/31/2019,"0.2543","0.2579","0.2533","0.2543"
08/30/2019,"0.2586","0.2588","0.2525","0.2543"
08/29/2019,"0.2536","0.2623","0.2476","0.2586"
08/28/2019,"0.2679","0.2700","0.2463","0.2536"
08/27/2019,"0.2682","0.2702","0.2647","0.2682"
08/26/2019,"0.2675","0.2802","0.2661","0.2682"
08/25/2019,"0.2721","0.2763","0.2674","0.2675"
08/24/2019,"0.2755","0.2780","0.2651","0.2721"
08/23/2019,"0.2725","0.2788","0.2685","0.2755"
08/22/2019,"0.2656","0.2741","0.2604","0.2725"
08/21/2019,"0.2738","0.2749","0.2585","0.2656"
08/20/2019,"0.2771","0.2834","0.2703","0.2736"
08/19/2019,"0.2860","0.2907","0.2763","0.2771"
08/18/2019,"0.2626","0.2916","0.2621","0.2860"
08/17/2019,"0.2613","0.2692","0.2587","0.2626"
08/16/2019,"0.2643","0.2684","0.2546","0.2613"
08/15/2019,"0.2686","0.2700","0.2502","0.2641"
08/14/2019,"0.2947","0.2975","0.2366","0.2680"
08/13/2019,"0.3008","0.3010","0.2919","0.2947"
08/12/2019,"0.3050","0.3050","0.2976","0.3008"
08/11/2019,"0.2975","0.3060","0.2944","0.3051"
08/10/2019,"0.2930","0.3049","0.2915","0.2975"
08/09/2019,"0.3048","0.3083","0.2898","0.2930"
08/08/2019,"0.3102","0.3133","0.3041","0.3049"
08/07/2019,"0.3100","0.3158","0.3065","0.3102"
08/06/2019,"0.3222","0.3247","0.3098","0.3100"
08/05/2019,"0.3226","0.3317","0.3194","0.3222"
08/04/2019,"0.3160","0.3232","0.3123","0.3223"
08/03/2019,"0.3097","0.3180","0.3097","0.3159"
08/02/2019,"0.3160","0.3180","0.3096","0.3097"
08/01/2019,"0.3173","0.3200","0.3118","0.3160"
07/31/2019,"0.3178","0.3235","0.3155","0.3173"
07/30/2019,"0.3102","0.3220","0.3070","0.3178"
07/29/2019,"0.3087","0.3137","0.2997","0.3102"
07/28/2019,"0.3093","0.3120","0.3056","0.3087"
07/27/2019,"0.3225","0.3268","0.3056","0.3093"
07/26/2019,"0.3133","0.3252","0.3077","0.3226"
07/25/2019,"0.3160","0.3231","0.3122","0.3133"
07/24/2019,"0.3141","0.3180","0.3040","0.3162"
07/23/2019,"0.3210","0.3225","0.3060","0.3143"
07/22/2019,"0.3293","0.3324","0.3155","0.3195"
07/21/2019,"0.3400","0.3419","0.3214","0.3293"
07/20/2019,"0.3190","0.3399","0.3179","0.3399"
07/19/2019,"0.3222","0.3250","0.3115","0.3190"
07/18/2019,"0.3161","0.3266","0.3046","0.3222"
07/17/2019,"0.2990","0.3236","0.2929","0.3161"
07/16/2019,"0.3133","0.3196","0.2855","0.3000"
07/15/2019,"0.3150","0.3236","0.2957","0.3131"
07/14/2019,"0.3248","0.3356","0.3000","0.3150"
07/13/2019,"0.3435","0.3464","0.3243","0.3247"
07/12/2019,"0.3224","0.3497","0.3203","0.3435"
07/11/2019,"0.3564","0.3620","0.3186","0.3232"
07/10/2019,"0.3911","0.3969","0.3465","0.3565"
07/09/2019,"0.4005","0.4078","0.3900","0.3910"
07/08/2019,"0.3972","0.4044","0.3934","0.4005"
07/07/2019,"0.3970","0.4013","0.3867","0.3970"
07/06/2019,"0.3801","0.4100","0.3740","0.3973"
07/05/2019,"0.3938","0.3950","0.3740","0.3801"
07/04/2019,"0.3990","0.4067","0.3916","0.3938"
07/03/2019,"0.3952","0.4068","0.3926","0.3990"
