Date,Open,High,Low,Close
11/16/2019,"8,461","8,533","8,437","8,494"
11/15/2019,"8,660","8,773","8,407","8,462"
11/14/2019,"8,768","8,794","8,578","8,660"
11/13/2019,"8,772","8,833","8,716","8,766"
11/12/2019,"8,744","8,852","8,579","8,772"
11/11/2019,"9,052","9,105","8,618","8,744"
11/10/2019,"8,805","9,127","8,756","9,052"
11/09/2019,"8,867","8,878","8,733","8,803"
11/08/2019,"9,211","9,248","8,687","8,867"
11/07/2019,"9,318","9,374","9,108","9,211"
11/06/2019,"9,360","9,446","9,268","9,318"
11/05/2019,"9,447","9,486","9,200","9,359"
11/04/2019,"9,161","9,540","9,136","9,447"
11/03/2019,"9,322","9,385","9,088","9,168"
11/02/2019,"9,223","9,398","9,214","9,322"
11/01/2019,"9,180","9,298","9,072","9,222"
10/31/2019,"9,192","9,412","8,976","9,180"
10/30/2019,"9,453","9,472","9,033","9,193"
10/29/2019,"9,461","9,549","9,111","9,453"
10/28/2019,"9,611","9,928","9,285","9,467"
10/27/2019,"9,132","9,799","9,103","9,611"
10/26/2019,"8,578","10,412","8,578","9,143"
10/25/2019,"7,464","8,746","7,417","8,589"
10/24/2019,"7,496","7,515","7,369","7,464"
10/23/2019,"8,137","8,137","7,338","7,499"
10/22/2019,"8,211","8,310","8,100","8,137"
10/21/2019,"8,238","8,317","8,169","8,211"
10/20/2019,"7,960","8,311","7,906","8,245"
10/19/2019,"7,955","8,087","7,902","7,952"
10/18/2019,"8,054","8,124","7,849","7,957"
10/17/2019,"7,995","8,126","7,947","8,054"
10/16/2019,"8,157","8,184","7,929","7,994"
10/15/2019,"8,349","8,406","8,133","8,157"
10/14/2019,"8,265","8,400","8,232","8,349"
10/13/2019,"8,352","8,470","8,174","8,265"
10/12/2019,"8,346","8,407","8,257","8,350"
10/11/2019,"8,583","8,791","8,297","8,346"
10/10/2019,"8,599","8,665","8,475","8,582"
10/09/2019,"8,137","8,692","8,130","8,599"
10/08/2019,"8,224","8,345","8,120","8,138"
10/07/2019,"7,911","8,311","7,790","8,217"
10/06/2019,"8,110","8,199","7,797","7,911"
10/05/2019,"8,177","8,228","8,031","8,109"
10/04/2019,"8,157","8,293","8,063","8,177"
10/03/2019,"8,245","8,423","8,100","8,156"
10/02/2019,"8,382","8,423","8,182","8,245"
10/01/2019,"8,246","8,528","8,202","8,392"
09/30/2019,"8,022","8,362","7,741","8,246"
09/29/2019,"8,182","8,338","7,940","8,023"
09/28/2019,"8,074","8,279","8,041","8,182"
09/27/2019,"8,104","8,143","7,887","8,074"
09/26/2019,"8,524","8,657","7,785","8,104"
09/25/2019,"8,589","8,798","8,252","8,528"
09/24/2019,"9,791","9,802","8,064","8,589"
09/23/2019,"10,016","10,082","9,725","9,793"
09/22/2019,"9,972","10,084","9,864","10,016"
09/21/2019,"10,145","10,189","9,965","9,972"
09/20/2019,"10,267","10,317","10,099","10,145"
09/19/2019,"10,202","10,372","9,710","10,267"
09/18/2019,"10,260","10,269","10,105","10,202"
09/17/2019,"10,223","10,354","10,149","10,271"
09/16/2019,"10,284","10,380","10,108","10,212"
09/15/2019,"10,425","10,445","10,276","10,284"
09/14/2019,"10,268","10,428","10,260","10,425"
09/13/2019,"10,337","10,470","10,173","10,268"
09/12/2019,"10,108","10,375","10,054","10,335"
09/11/2019,"10,059","10,224","9,869","10,106"
09/10/2019,"10,239","10,388","9,945","10,059"
09/09/2019,"10,370","10,536","10,101","10,239"
